EdgeDesc,Begin,End,Note
Arrow,0.CC.1,1.NBT.1,
Arrow,0.CC.1||to 20,0.CC.1,
Arrow,0.CC.1||to 20,0.CC.2||to 10,
Arrow,0.CC.1||to 20,0.CC.4.a,
Arrow,0.CC.2||to 10,0.CC.2,
Arrow,0.CC.2||to 10,0.CC.4.c||to 10,
Arrow,0.CC.4.a,0.CC.4.b,
Arrow,0.CC.4.b,0.CC.5||to 10,
Arrow,0.CC.4.c||to 10,0.CC.4.c||to 20,
Nondirectional link,0.CC.4.c||to 20,0.CC.2,
Arrow,0.CC.4.c||to 20,1.OA.5,
Nondirectional link,0.CC.5,0.CC.6,
Arrow,0.CC.5||to 10,0.CC.5,
Nondirectional link,0.CC.6,0.CC.4.c||to 10,
Arrow,0.CC.6,0.CC.7,
Arrow,0.CC.6,0.MD.3,
Arrow,0.CC.7,1.NBT.3,
Arrow,"0.G.1,2","0.G.3,4",
Arrow,0.G.2,0.G.6,
Arrow,0.G.2,1.G.1,
Arrow,"0.G.3,4",0.G.2,
Arrow,"0.G.3,4",1.G.1,
Arrow,0.G.6,1.G.2,
Arrow,0.MD.1,0.MD.2,
Arrow,0.MD.2,0.MD.3,
Arrow,0.MD.2,1.MD.1,
Arrow,0.MD.3,1.MD.4,
Arrow,0.NBT.1,1.NBT.2,
Arrow,0.OA.1,0.OA.2,
Arrow,0.OA.2,0.OA.3,
Arrow,0.OA.2,1.OA.1||to 15,
Arrow,0.OA.2,1.OA.3,
Arrow,0.OA.2,1.OA.4,
Arrow,0.OA.2,"1.OA.6||to 15, no fluency",
Arrow,0.OA.3,0.NBT.1,
Arrow,0.OA.3,0.OA.4,
Arrow,0.OA.3,0.OA.5,
Arrow,0.OA.3,"1.OA.6||to 15, no fluency",
Arrow,0.OA.4,"1.OA.6||to 15, no fluency",
Arrow,0.OA.5,"1.OA.6||to 15, no fluency",
Arrow,0.OA;1.OA;2.OA,5.OA.2,
Arrow,1.G.1,2.G.1,
Arrow,1.G.2,1.G.3,
Arrow,1.G.2,3.MD.5,
Arrow,1.G.2,4.G.3,
Arrow,1.G.3,2.G.3,
Arrow,1.MD.1,1.MD.2,
Arrow,1.MD.2,2.MD.1,
